Domain,Area,Element,Item,Year,Unit,Value
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","1970","kg","104.94"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","1971","kg","100.99"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","1972","kg","98.26"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","1973","kg","99.85"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","1974","kg","99.88"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","1975","kg","90.46"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","1976","kg","88.55"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","1977","kg","97.79"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","1978","kg","101.77"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","1979","kg","106.1"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","1980","kg","105.7"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","1981","kg","104.58"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","1982","kg","107.64"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","1983","kg","104.34"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","1984","kg","101.54"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","1985","kg","106.86"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","1986","kg","108.9"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","1987","kg","107.17"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","1988","kg","108.9"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","1989","kg","108.5"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","1990","kg","105.81"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","1991","kg","101.56"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","1992","kg","104.56"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","1993","kg","109.17"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","1994","kg","107.93"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","1995","kg","109.54"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","1996","kg","111.39"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","1997","kg","114.11"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","1998","kg","110.86"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","1999","kg","115.66"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","2000","kg","123.28"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","2001","kg","121.73"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","2002","kg","126.89"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","2003","kg","119.59"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","2004","kg","121.62"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","2005","kg","114.34"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","2006","kg","107.24"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","2007","kg","106.42"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","2008","kg","104.85"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","2009","kg","104.41"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","2010","kg","99.14"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","2011","kg","100.84"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","2012","kg","101.65"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Starchy Roots","2013","kg","104.05"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","1961","1000 tonnes","6031"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","1962","1000 tonnes","5398"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","1963","1000 tonnes","5338"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","1964","1000 tonnes","6318"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","1965","1000 tonnes","6813"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","1966","1000 tonnes","6599"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","1967","1000 tonnes","6884"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","1968","1000 tonnes","7118"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","1969","1000 tonnes","6034"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","1970","1000 tonnes","6412"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","1971","1000 tonnes","7869"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","1972","1000 tonnes","6216"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","1973","1000 tonnes","7427"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","1974","1000 tonnes","4587"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","1975","1000 tonnes","4787"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","1976","1000 tonnes","6325"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","1977","1000 tonnes","6382"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","1978","1000 tonnes","7080"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","1979","1000 tonnes","7660"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","1980","1000 tonnes","7380"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","1981","1000 tonnes","7395"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","1982","1000 tonnes","10005"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","1983","1000 tonnes","7495"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","1984","1000 tonnes","9015"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","1985","1000 tonnes","7715"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","1986","1000 tonnes","8118"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","1987","1000 tonnes","7990"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","1988","1000 tonnes","8152"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","1989","1000 tonnes","8113"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","1990","1000 tonnes","7902"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","1991","1000 tonnes","7673"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","1992","1000 tonnes","10148"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","1993","1000 tonnes","9666"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","1994","1000 tonnes","8720"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","1995","1000 tonnes","8431"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","1996","1000 tonnes","10420"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","1997","1000 tonnes","11084"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","1998","1000 tonnes","10002"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","1999","1000 tonnes","10584"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","2000","1000 tonnes","9079"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","2001","1000 tonnes","8335"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","2002","1000 tonnes","9557"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","2003","1000 tonnes","9168"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","2004","1000 tonnes","9042"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","2005","1000 tonnes","8687"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","2006","1000 tonnes","7400"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","2007","1000 tonnes","6733"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","2008","1000 tonnes","7641"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","2009","1000 tonnes","8457"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","2010","1000 tonnes","6527"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","2011","1000 tonnes","8504"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","2012","1000 tonnes","7291"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar Crops","2013","1000 tonnes","8432"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","1961","1000 tonnes","1040"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","1962","1000 tonnes","972"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","1963","1000 tonnes","1045"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","1964","1000 tonnes","1272"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","1965","1000 tonnes","1198"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","1966","1000 tonnes","1213"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","1967","1000 tonnes","1254"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","1968","1000 tonnes","1295"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","1969","1000 tonnes","1267"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","1970","1000 tonnes","1331"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","1971","1000 tonnes","1548"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","1972","1000 tonnes","1367"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","1973","1000 tonnes","1488"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","1974","1000 tonnes","1087"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","1975","1000 tonnes","1187"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","1976","1000 tonnes","1263"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","1977","1000 tonnes","1576"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","1978","1000 tonnes","1675"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","1979","1000 tonnes","1766"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","1980","1000 tonnes","1691"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","1981","1000 tonnes","1641"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","1982","1000 tonnes","2008"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","1983","1000 tonnes","1614"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","1984","1000 tonnes","1920"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","1985","1000 tonnes","1794"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","1986","1000 tonnes","1925"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","1987","1000 tonnes","1810"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","1988","1000 tonnes","1928"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","1989","1000 tonnes","1932"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","1990","1000 tonnes","1905"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","1991","1000 tonnes","1891"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","1992","1000 tonnes","2051"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","1993","1000 tonnes","2028"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","1994","1000 tonnes","1975"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","1995","1000 tonnes","1936"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","1996","1000 tonnes","2251"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","1997","1000 tonnes","2233"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","1998","1000 tonnes","2220"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","1999","1000 tonnes","2321"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","2000","1000 tonnes","2107"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","2001","1000 tonnes","2038"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","2002","1000 tonnes","2291"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","2003","1000 tonnes","2243"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","2004","1000 tonnes","2280"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","2005","1000 tonnes","2158"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","2006","1000 tonnes","1865"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","2007","1000 tonnes","1748"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","2008","1000 tonnes","1703"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","2009","1000 tonnes","1899"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","2010","1000 tonnes","1588"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","2011","1000 tonnes","1935"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","2012","1000 tonnes","1651"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Sugar & Sweeteners","2013","1000 tonnes","1752"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","1961","kg","51.7"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","1962","kg","44.71"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","1963","kg","49.65"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","1964","kg","48.21"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","1965","kg","51.61"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","1966","kg","50.41"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","1967","kg","51.4"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","1968","kg","48.75"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","1969","kg","48.76"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","1970","kg","49.3"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","1971","kg","48.86"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","1972","kg","44.49"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","1973","kg","50.78"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","1974","kg","41.8"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","1975","kg","46"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","1976","kg","46.11"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","1977","kg","47.71"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","1978","kg","41.53"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","1979","kg","42.94"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","1980","kg","43.25"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","1981","kg","42.77"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","1982","kg","46.68"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","1983","kg","42.54"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","1984","kg","42.61"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","1985","kg","39.91"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","1986","kg","40.86"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","1987","kg","41.23"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","1988","kg","41.61"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","1989","kg","41.93"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","1990","kg","41.57"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","1991","kg","41.02"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","1992","kg","40.19"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","1993","kg","36.2"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","1994","kg","39.49"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","1995","kg","37.91"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","1996","kg","39.54"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","1997","kg","39.28"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","1998","kg","37.74"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","1999","kg","39.85"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","2000","kg","37.36"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","2001","kg","40.4"
